Lake Shore Blvd. and Thirty Seventh St.,0,0,625,869,480,885,668,268,1015,709,655,948,1000,975,767,774
Kipling Ave. and Horner Ave.,0,29,20,11,5,34,35,32,20,16,1,22,63,125,54,66
The Queensway and North Queen St.,0,1,71,119,126,201,186,116,111,197,68,185,154,164,159,106
Wilson Ave. and Transit Rd. / Billy Bishop Way,0,11,108,542,274,479,476,293,475,650,489,544,329,256,177,191
Lake Shore Blvd. and Windermere Ave.,0,579,389,1040,955,1220,1366,770,896,1288,1344,1587,1367,875,733,474
Warden Ave. and McNicoll Ave.,0,0,643,1482,1283,1296,1176,915,810,329,209,402,389,348,946,1173
Keele St. and Wilson Ave.,0,49,66,80,57,89,93,77,58,79,18,72,106,68,51,114
Dupont St. and Lansdowne Ave.,0,380,177,116,216,380,331,237,346,742,1518,852,773,1155,948,958
Queen St. and Lansdowne Ave. / Jameson Ave.,0,0,162,344,350,802,564,812,1056,1145,943,746,1498,794,605,935
Burnhamthorpe Rd. and The East Mall,0,241,328,168,161,0,504,422,504,530,314,561,408,421,382,417
Sheppard Ave. and Keele St.,0,0,50,63,82,111,126,85,97,99,18,62,90,39,82,0
Jane St. and Bala Ave. / Emmett Ave.,0,1056,1060,1037,936,869,628,1049,990,882,344,537,350,608,586,348
Jane St. and Clair Rd. / Spenvalley Dr.,0,472,1883,1353,1308,927,1082,77,345,1300,958,1069,1412,1524,1065,1004
O Connor Dr. and Bermondsey Rd. / Yardley Ave.,0,150,320,348,190,387,251,285,345,358,142,276,206,643,449,282
Danforth Ave. and Birchmount Rd.,0,309,220,328,269,286,287,125,200,332,145,258,203,237,139,152
Islington Ave. and The Westway,0,8,308,910,385,596,833,673,689,706,480,446,308,496,1242,818
Bathurst St. and Davenport Rd.,0,0,22,0,47,0,0,286,589,2662,2430,1587,2120,1015,800,1625
Warden Ave. and Comstock Rd.,0,104,542,494,248,274,367,338,351,539,218,334,291,280,281,419
Eastern Ave. and Coxwell Ave.,0,0,47,181,129,164,178,189,138,151,86,219,324,259,169,374
Midland Ave. and Progress Ave.,0,0,43,129,98,119,213,199,212,211,81,154,53,45,197,215
Lawrence Ave. and Bellamy Rd.,0,1,123,291,228,302,196,48,494,502,283,503,540,418,722,720
Danforth Rd. and Birchmount Rd.,0,0,7,71,58,70,55,74,75,60,4,44,40,0,79,186
St. Clair Ave. and Brimley Rd.,0,0,113,293,183,288,287,249,331,306,159,350,369,198,134,0
Keele St. and Lawrence Ave.,0,0,180,188,138,167,135,152,141,128,18,92,134,77,480,542
Bloor St. and Ossington Ave.,0,0,0,0,21,141,107,46,275,257,88,789,744,486,598,770
Danforth Ave. and Greenwood Ave.,0,0,0,557,205,299,468,631,544,613,3586,3551,2622,0,0,0
Queen St. and Woodbine Ave.,0,0,25,28,8,16,13,35,23,175,40,80,100,116,77,62
Jarvis St. and King St.,0,0,83,187,104,94,138,97,122,200,588,1318,1254,636,839,822
Lake Shore Blvd. and Leslie St.,0,1,252,722,512,612,334,3,16,386,191,346,304,195,190,199
Lower Jarvis St. and The Esplanade,0,0,414,891,108,0,284,727,665,692,2708,2500,1661,1131,447,1243
Lake Shore Blvd. and Carlaw Ave.,0,0,214,1173,546,1097,768,623,583,732,566,650,601,305,343,345
Keele St. and Rogers Rd.,0,0,102,262,153,203,151,213,212,242,87,546,1309,1046,300,175
Bloor St. and Dundas St.,0,0,129,348,146,297,328,267,226,198,824,992,851,589,897,1040
Yonge St. and Lawrence Ave.,0,0,188,131,740,963,864,772,402,255,155,272,211,271,1360,1339
Eglinton Ave. and Spadina Rd.,0,0,0,752,813,954,774,683,683,713,975,601,420,722,631,432
Lawrence Ave. and Don Mills Rd.,0,0,30,86,68,63,90,85,86,112,11,40,80,81,68,66
Neilson Rd. and Sheppard Ave.,0,0,108,248,150,162,149,136,174,203,51,134,144,102,74,80
Sheppard Ave. and Malvern St. / Progress Ave.,0,0,73,622,695,584,507,287,1038,829,655,801,780,875,923,1218
Ellesmere Rd. and Military Trl.,0,0,81,684,531,667,539,691,589,564,392,374,361,347,406,634
