2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017**,2018,2019,2020,2021,2022
0,0,0,0,0,0,0,0,0,0,150,314,240,217,111,77
0,0,0,0,0,0,0,0,0,0,740,2287,2292,1407,871,0
0,0,0,0,0,0,0,0,0,0,172,490,485,493,450,726
0,0,0,0,0,0,0,0,0,0,439,437,289,1267,1142,1171
0,0,0,0,0,0,0,0,0,0,71,230,288,309,310,363
0,0,0,0,0,0,0,0,0,0,57,127,105,84,73,259
0,0,0,0,0,0,0,0,0,0,58,251,185,229,286,240
0,0,0,0,0,0,0,0,0,0,506,901,709,711,1212,950
0,0,0,0,0,0,0,0,0,0,108,98,111,144,130,155
0,0,0,0,0,0,0,0,0,0,341,149,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,143,125,295,221,268
0,0,0,0,0,0,0,0,0,0,116,56,0,0,0,0
0,0,0,0,0,0,0,0,0,0,254,216,173,561,410,329
0,0,0,0,0,0,0,0,0,0,526,622,534,652,661,749
0,0,0,0,0,0,0,0,0,0,123,55,0,0,0,0
0,0,0,0,0,0,0,0,0,0,255,257,102,0,0,0
0,0,0,0,0,0,0,0,0,0,994,2856,1972,1620,1630,832
0,0,0,0,0,0,0,0,0,0,197,571,250,310,431,707
0,0,0,0,0,0,0,0,0,0,0,75,222,171,145,161
0,0,0,0,0,0,0,0,0,0,66,504,498,405,510,138
0,0,0,0,0,0,0,0,0,0,83,27,20,1,2,3
0,0,0,0,0,0,0,0,0,0,1668,1714,1468,1192,739,1168
0,0,0,0,0,0,0,0,0,0,174,268,209,122,NA,4
0,0,0,0,0,0,0,0,0,0,321,355,287,348,371,256
0,0,0,0,0,0,0,0,0,0,106,188,148,358,492,515
0,0,0,0,0,0,0,0,0,0,363,1786,1520,1387,935,0
0,0,0,0,0,0,0,0,0,0,453,538,519,339,946,668
0,0,0,0,0,0,0,0,0,0,83,148,93,100,60,143
0,0,0,0,0,0,0,0,0,0,330,421,359,243,185,352
0,0,0,0,0,0,0,0,0,0,174,937,809,749,814,871
0,0,0,0,0,0,0,0,0,0,209,262,147,122,104,381
0,0,0,0,0,0,0,0,0,0,457,624,219,291,289,283
0,0,0,0,0,0,0,0,0,0,122,95,477,731,545,507
0,0,0,0,0,0,0,0,0,0,561,790,837,907,991,798
0,0,0,0,0,0,0,0,0,0,123,102,103,75,109,209
0,0,0,0,0,0,0,0,0,0,2139,3336,3125,1692,973,1457
0,0,0,0,0,0,0,0,0,0,2222,1729,1380,998,822,921
0,0,0,0,0,0,0,0,0,0,122,203,155,148,141,139
0,0,0,0,0,0,0,0,0,0,15,49,51,34,26,1
0,0,0,0,0,0,0,0,0,0,326,1239,1136,1005,1060,1705
0,0,0,0,0,0,0,0,0,0,290,441,352,241,276,398
0,0,0,0,0,0,0,0,0,0,100,81,38,118,168,156
0,0,0,0,0,0,0,0,0,0,463,444,298,206,404,649
0,0,0,0,0,0,0,0,0,0,198,208,163,234,201,235
0,0,0,0,0,0,0,0,0,0,52,70,111,220,214,200
0,0,0,0,0,0,0,0,0,0,52,303,224,242,0,0
0,0,0,0,0,0,0,0,0,0,67,127,102,81,228,180
0,0,0,0,0,0,0,0,0,0,0,94,65,107,NA,0
0,0,0,0,0,0,0,0,0,0,128,170,6,0,0,92
0,0,0,0,0,0,0,0,0,0,156,367,331,221,922,965
0,0,0,0,0,0,0,0,0,0,1083,1254,866,755,1045,1660
0,0,0,0,0,0,0,0,0,0,523,723,0,0,0,0
0,0,0,0,0,0,0,0,0,0,165,374,327,287,659,737
0,0,0,0,0,0,0,0,0,0,89,269,373,274,624,537
0,0,0,0,0,0,0,0,0,0,193,231,169,141,123,130
0,0,0,0,0,0,0,0,0,0,15,364,286,170,334,1114
0,0,0,0,0,0,0,0,0,0,215,605,498,1880,1539,1916
0,0,0,0,0,0,0,0,0,0,49,43,31,23,10,17
0,0,0,0,0,0,0,0,0,0,104,756,510,204,217,217
0,0,0,0,0,0,0,0,0,0,106,128,108,203,258,208
0,0,0,0,0,0,0,0,0,0,111,692,684,497,861,1157
0,0,0,0,0,0,0,0,0,0,151,130,121,72,672,803
0,0,0,0,0,0,0,0,0,0,346,153,0,0,0,0
0,0,0,0,0,0,0,0,0,0,221,182,256,175,151,183
0,0,0,0,0,0,0,0,0,0,23,58,47,14,58,75
0,0,0,0,0,0,0,0,0,0,571,720,636,354,660,556
0,0,0,0,0,0,0,0,0,0,540,150,585,366,246,576
0,0,0,0,0,0,0,0,0,0,261,216,68,0,0,0
0,0,0,0,0,0,0,0,0,0,625,494,150,242,193,172
0,0,0,0,0,0,0,0,0,0,35,15,0,0,0,0
0,0,0,0,0,0,0,0,0,0,152,637,602,1110,1032,947
0,0,0,0,0,0,0,0,0,0,0,119,118,116,263,303
0,0,0,0,0,0,0,0,0,0,0,244,832,493,100,90
0,0,0,0,0,0,0,0,0,0,0,0,21,43,83,30
0,0,0,0,0,0,0,0,0,0,0,120,286,294,226,301
0,0,0,0,0,0,0,0,0,0,0,13,105,43,251,318
0,0,0,0,0,0,0,0,0,0,0,0,11,47,36,56
0,0,0,0,0,0,0,0,0,0,0,0,30,137,146,207
0,0,0,0,0,0,0,0,0,0,0,0,98,276,149,172
0,0,0,0,0,0,0,0,0,0,0,0,318,401,727,958
0,0,0,0,0,0,0,0,0,0,0,0,0,870,752,826
0,0,0,0,0,0,0,0,0,0,0,0,0,41,524,278
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1513
0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,829
0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,307
0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,313
0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,409
0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,292
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188
0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,101
0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,230
0,0,0,0,0,0,0,0,0,0,0,0,0,0,832,1658
0,0,0,0,0,0,0,0,0,0,0,0,0,0,781,1323
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,435
0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,98
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,285
0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,231
0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,215
0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,323
