...1,Red Lights Camera Charges by Locaiton and Year,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,Published: December 2022,...15,...16,...17
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lake Shore Blvd. and Jameson Ave.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2139,3336,3125,1692,973,1457
Eglinton Ave. and Danforth Rd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2222,1729,1380,998,822,921
Neilson Rd. and McLevin Ave.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,203,155,148,141,139
Simcoe St. and Wellington St.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,49,51,34,26,1
Jane St. and Stong Crt. / York Gate Blvd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326,1239,1136,1005,1060,1705
Ellesmere Rd. and Bellamy Rd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290,441,352,241,276,398
Lawrence Ave. and Kennedy Rd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,81,38,118,168,156
Warden Ave. and Comstock Rd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,463,444,298,206,404,649
Sheppard Ave. and Malvern St. / Progress Ave.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198,208,163,234,201,235
Rexdale Blvd. and Kipling Ave.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,70,111,220,214,200
Weston Rd. and Lawrence Ave.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,303,224,242,0,0
Islington Ave. and Albion Rd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,127,102,81,228,180
Islington Ave. and The Queensway,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,94,65,107,63*,NA
Yonge St. and Steeles Ave.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,170,6,0,0,92
St. Clair Ave. and Runnymede Rd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,367,331,221,922,965
Warden Ave. and Ashtonbee Rd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1083,1254,866,755,1045,1660
Finch Ave. and Signet Dr.*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,523,723,0,0,0,NA
Keele St. and Lawrence Ave.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,374,327,287,659,737
Birchmount Rd. and McNicoll Ave.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,269,373,274,624,537
Finch Ave. and Middlefield Rd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193,231,169,141,123,130
Dixon Rd. and Islington Ave.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,364,286,170,334,1114
Spadina Ave. and Bremner Blvd. / Fort York Blvd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,605,498,1880,1539,1916
The Queensway and Royal York Rd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,43,31,23,10,17
Lake Shore Blvd. and Strachan Ave.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,756,510,204,217,217
